#LAMBDA    g      r        i      z        Y     atm
4250.0 0.36858 0.00000 0.00000 0.00000 0.00000 0.71485
4255.0 0.37083 0.00000 0.00000 0.00000 0.00000 0.71611
4260.0 0.37296 0.00000 0.00000 0.00000 0.00000 0.71715
4265.0 0.37474 0.00000 0.00000 0.00000 0.00000 0.71805
4270.0 0.37645 0.00000 0.00000 0.00000 0.00000 0.71882
4275.0 0.38042 0.00000 0.00000 0.00000 0.00000 0.71956
4280.0 0.38446 0.00000 0.00000 0.00000 0.00000 0.72045
4285.0 0.38514 0.00000 0.00000 0.00000 0.00000 0.72164
4290.0 0.38577 0.00000 0.00000 0.00000 0.00000 0.72275
4295.0 0.39010 0.00000 0.00000 0.00000 0.00000 0.72378
4300.0 0.39429 0.00000 0.00000 0.00000 0.00000 0.72454
4305.0 0.39591 0.00000 0.00000 0.00000 0.00000 0.72514
4310.0 0.39765 0.00000 0.00000 0.00000 0.00000 0.72595
4315.0 0.39947 0.00000 0.00000 0.00000 0.00000 0.72691
4320.0 0.40138 0.00000 0.00000 0.00000 0.00000 0.72802
4325.0 0.40363 0.00000 0.00000 0.00000 0.00000 0.72905
4330.0 0.40572 0.00000 0.00000 0.00000 0.00000 0.72979
4335.0 0.40773 0.00000 0.00000 0.00000 0.00000 0.73039
4340.0 0.40987 0.00000 0.00000 0.00000 0.00000 0.73120
4345.0 0.41237 0.00000 0.00000 0.00000 0.00000 0.73194
4350.0 0.41477 0.00000 0.00000 0.00000 0.00000 0.73251
4355.0 0.41740 0.00000 0.00000 0.00000 0.00000 0.73347
4360.0 0.42011 0.00000 0.00000 0.00000 0.00000 0.73458
4365.0 0.42246 0.00000 0.00000 0.00000 0.00000 0.73569
4370.0 0.42480 0.00000 0.00000 0.00000 0.00000 0.73678
4375.0 0.42716 0.00000 0.00000 0.00000 0.00000 0.73789
4380.0 0.42925 0.00000 0.00000 0.00000 0.00000 0.73854
4385.0 0.43198 0.00000 0.00000 0.00000 0.00000 0.73905
4390.0 0.43457 0.00000 0.00000 0.00000 0.00000 0.73933
4395.0 0.43744 0.00000 0.00000 0.00000 0.00000 0.74007
4400.0 0.44048 0.00000 0.00000 0.00000 0.00000 0.74108
4405.0 0.44259 0.00000 0.00000 0.00000 0.00000 0.74227
4410.0 0.44464 0.00000 0.00000 0.00000 0.00000 0.74336
4415.0 0.44652 0.00000 0.00000 0.00000 0.00000 0.74416
4420.0 0.44844 0.00000 0.00000 0.00000 0.00000 0.74502
4425.0 0.45003 0.00000 0.00000 0.00000 0.00000 0.74569
4430.0 0.45160 0.00000 0.00000 0.00000 0.00000 0.74633
4435.0 0.45327 0.00000 0.00000 0.00000 0.00000 0.74713
4440.0 0.45489 0.00000 0.00000 0.00000 0.00000 0.74785
4445.0 0.45631 0.00000 0.00000 0.00000 0.00000 0.74826
4450.0 0.45782 0.00000 0.00000 0.00000 0.00000 0.74883
4455.0 0.45951 0.00000 0.00000 0.00000 0.00000 0.74970
4460.0 0.46135 0.00000 0.00000 0.00000 0.00000 0.75080
4465.0 0.46304 0.00000 0.00000 0.00000 0.00000 0.75197
4470.0 0.46450 0.00000 0.00000 0.00000 0.00000 0.75274
4475.0 0.46591 0.00000 0.00000 0.00000 0.00000 0.75346
4480.0 0.46705 0.00000 0.00000 0.00000 0.00000 0.75373
4485.0 0.46858 0.00000 0.00000 0.00000 0.00000 0.75422
4490.0 0.47038 0.00000 0.00000 0.00000 0.00000 0.75515
4495.0 0.47238 0.00000 0.00000 0.00000 0.00000 0.75639
4500.0 0.47420 0.00000 0.00000 0.00000 0.00000 0.75734
4505.0 0.47581 0.00000 0.00000 0.00000 0.00000 0.75812
4510.0 0.47739 0.00000 0.00000 0.00000 0.00000 0.75884
4515.0 0.47891 0.00000 0.00000 0.00000 0.00000 0.75946
4520.0 0.48054 0.00000 0.00000 0.00000 0.00000 0.76025
4525.0 0.48262 0.00000 0.00000 0.00000 0.00000 0.76088
4530.0 0.48474 0.00000 0.00000 0.00000 0.00000 0.76158
4535.0 0.48693 0.00000 0.00000 0.00000 0.00000 0.76237
4540.0 0.48916 0.00000 0.00000 0.00000 0.00000 0.76323
4545.0 0.49047 0.00000 0.00000 0.00000 0.00000 0.76410
4550.0 0.49163 0.00000 0.00000 0.00000 0.00000 0.76472
4555.0 0.49273 0.00000 0.00000 0.00000 0.00000 0.76527
4560.0 0.49394 0.00000 0.00000 0.00000 0.00000 0.76597
4565.0 0.49471 0.00000 0.00000 0.00000 0.00000 0.76667
4570.0 0.49548 0.00000 0.00000 0.00000 0.00000 0.76737
4575.0 0.49620 0.00000 0.00000 0.00000 0.00000 0.76800
4580.0 0.49672 0.00000 0.00000 0.00000 0.00000 0.76831
4585.0 0.49849 0.00000 0.00000 0.00000 0.00000 0.76871
4590.0 0.50045 0.00000 0.00000 0.00000 0.00000 0.76941
4595.0 0.50247 0.00000 0.00000 0.00000 0.00000 0.77018
4600.0 0.50439 0.00000 0.00000 0.00000 0.00000 0.77081
4605.0 0.50623 0.00000 0.00000 0.00000 0.00000 0.77135
4610.0 0.50808 0.00000 0.00000 0.00000 0.00000 0.77190
4615.0 0.50997 0.00000 0.00000 0.00000 0.00000 0.77252
4620.0 0.51202 0.00000 0.00000 0.00000 0.00000 0.77337
4625.0 0.51366 0.00000 0.00000 0.00000 0.00000 0.77414
4630.0 0.51521 0.00000 0.00000 0.00000 0.00000 0.77476
4635.0 0.51661 0.00000 0.00000 0.00000 0.00000 0.77515
4640.0 0.51810 0.00000 0.00000 0.00000 0.00000 0.77568
4645.0 0.51951 0.00000 0.00000 0.00000 0.00000 0.77653
4650.0 0.52097 0.00000 0.00000 0.00000 0.00000 0.77745
4655.0 0.52254 0.00000 0.00000 0.00000 0.00000 0.77854
4660.0 0.52401 0.00000 0.00000 0.00000 0.00000 0.77947
4665.0 0.52444 0.00000 0.00000 0.00000 0.00000 0.78016
4670.0 0.52460 0.00000 0.00000 0.00000 0.00000 0.78045
4675.0 0.52483 0.00000 0.00000 0.00000 0.00000 0.78084
4680.0 0.52515 0.00000 0.00000 0.00000 0.00000 0.78137
4685.0 0.52605 0.00000 0.00000 0.00000 0.00000 0.78207
4690.0 0.52689 0.00000 0.00000 0.00000 0.00000 0.78268
4695.0 0.52779 0.00000 0.00000 0.00000 0.00000 0.78336
4700.0 0.52875 0.00000 0.00000 0.00000 0.00000 0.78414
4705.0 0.53006 0.00000 0.00000 0.00000 0.00000 0.78467
4710.0 0.53144 0.00000 0.00000 0.00000 0.00000 0.78527
4715.0 0.53286 0.00000 0.00000 0.00000 0.00000 0.78596
4720.0 0.53424 0.00000 0.00000 0.00000 0.00000 0.78657
4725.0 0.53612 0.00000 0.00000 0.00000 0.00000 0.78719
4730.0 0.53800 0.00000 0.00000 0.00000 0.00000 0.78779
4735.0 0.53977 0.00000 0.00000 0.00000 0.00000 0.78824
4740.0 0.54143 0.00000 0.00000 0.00000 0.00000 0.78853
4745.0 0.54329 0.00000 0.00000 0.00000 0.00000 0.78882
4750.0 0.54536 0.00000 0.00000 0.00000 0.00000 0.78943
4755.0 0.54744 0.00000 0.00000 0.00000 0.00000 0.79003
4760.0 0.54952 0.00000 0.00000 0.00000 0.00000 0.79064
4765.0 0.55017 0.00000 0.00000 0.00000 0.00000 0.79117
4770.0 0.55076 0.00000 0.00000 0.00000 0.00000 0.79160
4775.0 0.55135 0.00000 0.00000 0.00000 0.00000 0.79205
4780.0 0.55190 0.00000 0.00000 0.00000 0.00000 0.79241
4785.0 0.55239 0.00000 0.00000 0.00000 0.00000 0.79286
4790.0 0.55278 0.00000 0.00000 0.00000 0.00000 0.79314
4795.0 0.55304 0.00000 0.00000 0.00000 0.00000 0.79326
4800.0 0.55354 0.00000 0.00000 0.00000 0.00000 0.79370
4805.0 0.55507 0.00000 0.00000 0.00000 0.00000 0.79423
4810.0 0.55654 0.00000 0.00000 0.00000 0.00000 0.79466
4815.0 0.55802 0.00000 0.00000 0.00000 0.00000 0.79510
4820.0 0.55956 0.00000 0.00000 0.00000 0.00000 0.79563
4825.0 0.56039 0.00000 0.00000 0.00000 0.00000 0.79630
4830.0 0.56129 0.00000 0.00000 0.00000 0.00000 0.79706
4835.0 0.56213 0.00000 0.00000 0.00000 0.00000 0.79773
4840.0 0.56298 0.00000 0.00000 0.00000 0.00000 0.79842
4845.0 0.56307 0.00000 0.00000 0.00000 0.00000 0.79901
4850.0 0.56311 0.00000 0.00000 0.00000 0.00000 0.79953
4855.0 0.56320 0.00000 0.00000 0.00000 0.00000 0.80012
4860.0 0.56328 0.00000 0.00000 0.00000 0.00000 0.80072
4865.0 0.56493 0.00000 0.00000 0.00000 0.00000 0.80140
4870.0 0.56658 0.00000 0.00000 0.00000 0.00000 0.80207
4875.0 0.56799 0.00000 0.00000 0.00000 0.00000 0.80242
4880.0 0.56959 0.00000 0.00000 0.00000 0.00000 0.80303
4885.0 0.57107 0.00000 0.00000 0.00000 0.00000 0.80297
4890.0 0.57277 0.00000 0.00000 0.00000 0.00000 0.80324
4895.0 0.57477 0.00000 0.00000 0.00000 0.00000 0.80393
4900.0 0.57670 0.00000 0.00000 0.00000 0.00000 0.80452
4905.0 0.57769 0.00000 0.00000 0.00000 0.00000 0.80519
4910.0 0.57862 0.00000 0.00000 0.00000 0.00000 0.80578
4915.0 0.57949 0.00000 0.00000 0.00000 0.00000 0.80629
4920.0 0.58037 0.00000 0.00000 0.00000 0.00000 0.80680
4925.0 0.58019 0.00000 0.00000 0.00000 0.00000 0.80715
4930.0 0.58008 0.00000 0.00000 0.00000 0.00000 0.80758
4935.0 0.57990 0.00000 0.00000 0.00000 0.00000 0.80793
4940.0 0.57973 0.00000 0.00000 0.00000 0.00000 0.80828
4945.0 0.58022 0.00000 0.00000 0.00000 0.00000 0.80862
4950.0 0.58076 0.00000 0.00000 0.00000 0.00000 0.80905
4955.0 0.58136 0.00000 0.00000 0.00000 0.00000 0.80956
4960.0 0.58179 0.00000 0.00000 0.00000 0.00000 0.80983
4965.0 0.58399 0.00000 0.00000 0.00000 0.00000 0.81025
4970.0 0.58612 0.00000 0.00000 0.00000 0.00000 0.81060
4975.0 0.58838 0.00000 0.00000 0.00000 0.00000 0.81111
4980.0 0.59058 0.00000 0.00000 0.00000 0.00000 0.81154
4985.0 0.59205 0.00000 0.00000 0.00000 0.00000 0.81204
4990.0 0.59328 0.00000 0.00000 0.00000 0.00000 0.81221
4995.0 0.59452 0.00000 0.00000 0.00000 0.00000 0.81239
5000.0 0.59582 0.00000 0.00000 0.00000 0.00000 0.81266
5005.0 0.59670 0.00000 0.00000 0.00000 0.00000 0.81258
5010.0 0.59770 0.00000 0.00000 0.00000 0.00000 0.81268
5015.0 0.59871 0.00000 0.00000 0.00000 0.00000 0.81278
5020.0 0.59965 0.00000 0.00000 0.00000 0.00000 0.81279
5025.0 0.59990 0.00000 0.00000 0.00000 0.00000 0.81264
5030.0 0.60016 0.00000 0.00000 0.00000 0.00000 0.81249
5035.0 0.60035 0.00000 0.00000 0.00000 0.00000 0.81225
5040.0 0.60072 0.00000 0.00000 0.00000 0.00000 0.81227
5045.0 0.60175 0.00000 0.00000 0.00000 0.00000 0.81276
5050.0 0.60291 0.00000 0.00000 0.00000 0.00000 0.81342
5055.0 0.60387 0.00000 0.00000 0.00000 0.00000 0.81384
5060.0 0.60491 0.00000 0.00000 0.00000 0.00000 0.81434
5065.0 0.60653 0.00000 0.00000 0.00000 0.00000 0.81484
5070.0 0.60828 0.00000 0.00000 0.00000 0.00000 0.81551
5075.0 0.60990 0.00000 0.00000 0.00000 0.00000 0.81600
5080.0 0.61165 0.00000 0.00000 0.00000 0.00000 0.81668
5085.0 0.61281 0.00000 0.00000 0.00000 0.00000 0.81725
5090.0 0.61397 0.00000 0.00000 0.00000 0.00000 0.81783
5095.0 0.61513 0.00000 0.00000 0.00000 0.00000 0.81842
5100.0 0.61623 0.00000 0.00000 0.00000 0.00000 0.81892
5105.0 0.61610 0.00000 0.00000 0.00000 0.00000 0.81950
5110.0 0.61604 0.00000 0.00000 0.00000 0.00000 0.82017
5115.0 0.61579 0.00000 0.00000 0.00000 0.00000 0.82058
5120.0 0.61548 0.00000 0.00000 0.00000 0.00000 0.82091
5125.0 0.61604 0.00000 0.00000 0.00000 0.00000 0.82124
5130.0 0.61667 0.00000 0.00000 0.00000 0.00000 0.82165
5135.0 0.61742 0.00000 0.00000 0.00000 0.00000 0.82224
5140.0 0.61799 0.00000 0.00000 0.00000 0.00000 0.82257
5145.0 0.61959 0.00000 0.00000 0.00000 0.00000 0.82290
5150.0 0.62119 0.00000 0.00000 0.00000 0.00000 0.82323
5155.0 0.62279 0.00000 0.00000 0.00000 0.00000 0.82356
5160.0 0.62439 0.00000 0.00000 0.00000 0.00000 0.82389
5165.0 0.62523 0.00000 0.00000 0.00000 0.00000 0.82430
5170.0 0.62594 0.00000 0.00000 0.00000 0.00000 0.82454
5175.0 0.62672 0.00000 0.00000 0.00000 0.00000 0.82487
5180.0 0.62750 0.00000 0.00000 0.00000 0.00000 0.82521
5185.0 0.62846 0.00000 0.00000 0.00000 0.00000 0.82529
5190.0 0.62955 0.00000 0.00000 0.00000 0.00000 0.82553
5195.0 0.63064 0.00000 0.00000 0.00000 0.00000 0.82577
5200.0 0.63187 0.00000 0.00000 0.00000 0.00000 0.82619
5205.0 0.63349 0.00000 0.00000 0.00000 0.00000 0.82626
5210.0 0.63531 0.00000 0.00000 0.00000 0.00000 0.82659
5215.0 0.63713 0.00000 0.00000 0.00000 0.00000 0.82691
5220.0 0.63888 0.00000 0.00000 0.00000 0.00000 0.82716
5225.0 0.64029 0.00000 0.00000 0.00000 0.00000 0.82732
5230.0 0.64163 0.00000 0.00000 0.00000 0.00000 0.82739
5235.0 0.64296 0.00000 0.00000 0.00000 0.00000 0.82747
5240.0 0.64423 0.00000 0.00000 0.00000 0.00000 0.82745
5245.0 0.64493 0.00000 0.00000 0.00000 0.00000 0.82744
5250.0 0.64557 0.00000 0.00000 0.00000 0.00000 0.82735
5255.0 0.64628 0.00000 0.00000 0.00000 0.00000 0.82734
5260.0 0.64705 0.00000 0.00000 0.00000 0.00000 0.82741
5265.0 0.64723 0.00000 0.00000 0.00000 0.00000 0.82748
5270.0 0.64741 0.00000 0.00000 0.00000 0.00000 0.82755
5275.0 0.64772 0.00000 0.00000 0.00000 0.00000 0.82778
